Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
9 de Julio,San Juan,12498.0,19,31
Susques,Jujuy,3966.0,19,26
La Viña,Salta,8888.0,19,24
Lago Buenos Aires,Santa Cruz,12584.0,18,115
Los Andes,Salta,7182.0,18,41
Hucal,La Pampa,7713.0,17,74
Trenel,La Pampa,5637.0,17,47
Catán Lil,Neuquén,2641.0,17,8
Tehuelches,Chubut,5947.0,16,42
Guachipas,Salta,3491.0,15,16
Independencia,La Rioja,2399.0,15,6
Picún Leufú,Neuquén,5087.0,14,28
Valle Grande,Jujuy,2490.0,14,8
Mitre,Santiago del Estero,1440.0,14,5
Magallanes,Santa Cruz,12828.0,13,106
Collón Curá,Neuquén,4832.0,13,44
La Candelaria,Salta,7182.0,13,20
Tordillo,Buenos Aires,2528.0,13,17
Zonda,San Juan,6674.0,13,8
Ullum,San Juan,6454.0,13,5
Antofagasta de la Sierra,Catamarca,1822.0,12,17
Languiñeo,Chubut,2862.0,12,15
Vinchina,La Rioja,2695.0,12,13
La Poma,Salta,1789.0,12,7
Río Chico,Santa Cruz,6271.0,11,64
Berón de Astrada,Corrientes,2808.0,10,15
Gastre,Chubut,1181.0,10,8
Chical Co,La Pampa,1461.0,10,6
San Antonio,Jujuy,6729.0,9,14
General Lamadrid,La Rioja,1885.0,9,5
Caleu Caleu,La Pampa,2611.0,8,21
Paso de Indios,Chubut,1882.0,8,16
Chalileo,La Pampa,2868.0,8,15
Curacó,La Pampa,1103.0,8,11
Telsen,Chubut,1608.0,8,8
Limay Mahuida,La Pampa,413.0,5,20
Florentino Ameghino,Chubut,1782.0,4,9
Lihuel Calel,La Pampa,428.0,4,4
Mártires,Chubut,744.0,3,9
Sanagasta,La Rioja,2994.0,3,8
Tolhuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",6027.0,1,42
