Departamento,provincia,Jardines,Primarias,Secundarias,Superiores No Universitarios,Poblacion Jardines,Poblacion Primarias,Poblacion Secundarias,Poblacion Superiores No Universitarios
CHACABUCO,CHACO,71.0,96.0,55.0,10.0,3114.0,4114.0,2661.0,24604.0
BERMEJO,CHACO,70.0,91.0,33.0,8.0,2560.0,3431.0,2304.0,19765.0
SAN LORENZO,CHACO,66.0,89.0,46.0,11.0,1707.0,2119.0,1392.0,10827.0
COMANDANTE FERNANDEZ,CHACO,52.0,67.0,32.0,12.0,8579.0,12218.0,8717.0,71572.0
QUITILIPI,CHACO,31.0,54.0,13.0,4.0,3168.0,3819.0,2914.0,22529.0
GENERAL BELGRANO,CHACO,33.0,49.0,28.0,6.0,1411.0,1698.0,1194.0,8504.0
INDEPENDENCIA,CHACO,24.0,38.0,14.0,4.0,2318.0,3020.0,2344.0,14266.0
12 DE OCTUBRE,CHACO,23.0,31.0,13.0,2.0,2262.0,2851.0,1939.0,16127.0
SARGENTO CABRAL,CHACO,14.0,29.0,7.0,4.0,1769.0,2286.0,1558.0,13083.0
FRAY JUSTO SANTA MARIA DE ORO,CHACO,15.0,19.0,7.0,2.0,968.0,1305.0,871.0,7499.0
2 DE ABRIL,CHACO,8.0,17.0,4.0,1.0,745.0,895.0,619.0,6051.0
GENERAL DONOVAN,CHACO,13.0,16.0,6.0,5.0,1285.0,1794.0,1226.0,10756.0
PRESIDENCIA DE LA PLAZA,CHACO,11.0,16.0,4.0,1.0,1353.0,1853.0,1252.0,9480.0
LIBERTAD,CHACO,11.0,12.0,5.0,2.0,1282.0,1682.0,1109.0,9702.0
TAPENAGA,CHACO,5.0,10.0,5.0,3.0,394.0,505.0,364.0,2788.0
MAYOR LUIS J. FONTANA,CHACO,,,,,5880.0,7600.0,4936.0,41382.0
GENERAL GÜEMES,CHACO,,,,,6921.0,9486.0,6215.0,45807.0
1° DE MAYO,CHACO,,,,,1360.0,1810.0,1022.0,10073.0
O'HIGGINS,CHACO,,,,,2090.0,3018.0,2171.0,14265.0
RAWSON,CHUBUT,111.0,98.0,57.0,15.0,10491.0,15641.0,11382.0,106906.0
ESCALANTE,CHUBUT,73.0,62.0,46.0,14.0,16668.0,25207.0,17230.0,155724.0
SARMIENTO,CHUBUT,42.0,51.0,32.0,3.0,1344.0,1995.0,1274.0,9864.0
FUTALEUFU,CHUBUT,34.0,28.0,21.0,5.0,3522.0,5702.0,4018.0,36723.0
BIEDMA,CHUBUT,30.0,27.0,19.0,6.0,8111.0,12244.0,8851.0,73600.0
CUSHAMEN,CHUBUT,26.0,26.0,19.0,5.0,2022.0,3216.0,2317.0,20544.0
FLORENTINO AMEGHINO,CHUBUT,9.0,10.0,8.0,1.0,175.0,221.0,134.0,1252.0
RIO SENGUER,CHUBUT,8.0,9.0,8.0,2.0,565.0,746.0,461.0,4575.0
GAIMAN,CHUBUT,10.0,9.0,9.0,0.0,998.0,1396.0,1046.0,9065.0
TEHUELCHES,CHUBUT,4.0,5.0,4.0,1.0,464.0,754.0,462.0,4267.0
LANGUIÑEO,CHUBUT,5.0,5.0,6.0,0.0,236.0,297.0,238.0,2091.0
GASTRE,CHUBUT,5.0,5.0,5.0,0.0,83.0,108.0,88.0,902.0
TELSEN,CHUBUT,3.0,4.0,4.0,0.0,117.0,167.0,126.0,1198.0
PASO DE INDIOS,CHUBUT,2.0,3.0,3.0,0.0,137.0,191.0,117.0,1437.0
MARTIRES,CHUBUT,1.0,2.0,1.0,0.0,64.0,74.0,49.0,557.0
COMUNA 4,CIUDAD DE BUENOS AIRES,75.0,84.0,39.0,9.0,13843.0,22520.0,15569.0,175092.0
COMUNA 13,CIUDAD DE BUENOS AIRES,78.0,76.0,53.0,18.0,12057.0,17774.0,13234.0,219265.0
COMUNA 12,CIUDAD DE BUENOS AIRES,71.0,72.0,39.0,7.0,11942.0,17210.0,12112.0,194100.0
COMUNA 11,CIUDAD DE BUENOS AIRES,67.0,71.0,32.0,6.0,9308.0,14922.0,11447.0,166228.0
COMUNA 7,CIUDAD DE BUENOS AIRES,65.0,67.0,32.0,10.0,10782.0,17292.0,12646.0,172542.0
COMUNA 9,CIUDAD DE BUENOS AIRES,61.0,64.0,29.0,8.0,8573.0,14531.0,11224.0,133580.0
COMUNA 14,CIUDAD DE BUENOS AIRES,70.0,60.0,42.0,25.0,10915.0,14539.0,10337.0,211461.0
COMUNA 10,CIUDAD DE BUENOS AIRES,63.0,60.0,27.0,6.0,8255.0,13286.0,10168.0,140187.0
COMUNA 15,CIUDAD DE BUENOS AIRES,50.0,57.0,23.0,9.0,9388.0,14068.0,10154.0,161655.0
COMUNA 8,CIUDAD DE BUENOS AIRES,67.0,55.0,30.0,8.0,14568.0,23918.0,16778.0,148624.0
COMUNA 3,CIUDAD DE BUENOS AIRES,47.0,53.0,36.0,34.0,9218.0,13857.0,9970.0,160492.0
COMUNA 1,CIUDAD DE BUENOS AIRES,53.0,52.0,35.0,62.0,12219.0,17398.0,11647.0,179737.0
COMUNA 6,CIUDAD DE BUENOS AIRES,48.0,46.0,31.0,12.0,9182.0,13889.0,10132.0,168561.0
COMUNA 5,CIUDAD DE BUENOS AIRES,42.0,41.0,26.0,25.0,8448.0,13029.0,9437.0,161535.0
COMUNA 2,CIUDAD DE BUENOS AIRES,43.0,35.0,26.0,20.0,6616.0,8758.0,6567.0,138668.0
CAPITAL,CORDOBA,1558.0,1336.0,1060.0,356.0,105777.0,149261.0,106456.0,1136566.0
SAN JUSTO,CORDOBA,201.0,222.0,103.0,22.0,17737.0,24255.0,17996.0,168963.0
GENERAL ROCA,CORDOBA,187.0,200.0,103.0,31.0,2905.0,3828.0,2856.0,26475.0
GENERAL SAN MARTIN,CORDOBA,194.0,199.0,146.0,30.0,12494.0,16719.0,11456.0,111728.0
COLON,CORDOBA,164.0,166.0,100.0,16.0,24253.0,34951.0,24613.0,210694.0
RIO CUARTO,CORDOBA,142.0,155.0,87.0,16.0,21670.0,28900.0,20150.0,207259.0
SAN JAVIER,CORDOBA,118.0,132.0,43.0,12.0,4809.0,7043.0,4900.0,45948.0
SANTA MARIA,CORDOBA,97.0,107.0,70.0,5.0,12002.0,16655.0,11150.0,99205.0
UNION,CORDOBA,90.0,98.0,42.0,18.0,8748.0,12013.0,8675.0,84199.0
CRUZ DEL EJE,CORDOBA,73.0,82.0,22.0,10.0,5650.0,7539.0,5373.0,46186.0
PUNILLA,CORDOBA,78.0,82.0,54.0,11.0,15214.0,22996.0,16548.0,164736.0
MARCOS JUAREZ,CORDOBA,69.0,82.0,35.0,13.0,7791.0,10712.0,7608.0,81175.0
RIO PRIMERO,CORDOBA,63.0,74.0,28.0,4.0,5303.0,6664.0,4647.0,41567.0
RIO SEGUNDO,CORDOBA,64.0,73.0,46.0,6.0,8823.0,12120.0,8663.0,83705.0
TERCERO ARRIBA,CORDOBA,66.0,70.0,39.0,10.0,9114.0,12660.0,8880.0,89553.0
CALAMUCHITA,CORDOBA,54.0,67.0,28.0,3.0,5902.0,8474.0,5975.0,55111.0
JUAREZ CELMAN,CORDOBA,48.0,55.0,24.0,5.0,5605.0,7504.0,5280.0,49928.0
SAN ALBERTO,CORDOBA,49.0,54.0,22.0,2.0,3328.0,4666.0,3305.0,30730.0
TULUMBA,CORDOBA,33.0,42.0,7.0,1.0,1158.0,1454.0,1037.0,10443.0
MINAS,CORDOBA,30.0,42.0,15.0,1.0,371.0,499.0,384.0,3601.0
ISCHILIN,CORDOBA,37.0,41.0,10.0,3.0,3125.0,4159.0,3236.0,25503.0
RIO SECO,CORDOBA,29.0,37.0,8.0,2.0,1324.0,1890.0,1383.0,10678.0
TOTORAL,CORDOBA,25.0,35.0,11.0,1.0,1943.0,2627.0,1866.0,16037.0
PRESIDENTE ROQUE SAENZ PEÑA,CORDOBA,33.0,33.0,15.0,4.0,2907.0,4130.0,2924.0,27590.0
POCHO,CORDOBA,21.0,28.0,5.0,0.0,377.0,472.0,398.0,3823.0
SOBREMONTE,CORDOBA,9.0,14.0,3.0,1.0,345.0,468.0,393.0,3175.0
CAPITAL,CORRIENTES,1558.0,1336.0,1060.0,356.0,35160.0,47808.0,33152.0,321326.0
SAN MARTIN,CORRIENTES,185.0,188.0,80.0,14.0,1512.0,1980.0,1401.0,10271.0
SAN MIGUEL,CORRIENTES,102.0,109.0,102.0,15.0,1287.0,1758.0,1209.0,8446.0
GOYA,CORRIENTES,80.0,95.0,31.0,5.0,9035.0,12729.0,9157.0,75302.0
LAVALLE,CORRIENTES,99.0,85.0,31.0,8.0,4432.0,5545.0,3614.0,26815.0
GENERAL ALVEAR,CORRIENTES,81.0,81.0,22.0,8.0,873.0,1086.0,788.0,6304.0
MERCEDES,CORRIENTES,76.0,80.0,39.0,9.0,4965.0,6120.0,3868.0,34854.0
ITUZAINGO,CORRIENTES,79.0,79.0,63.0,13.0,3816.0,4878.0,3380.0,26693.0
ESQUINA,CORRIENTES,50.0,58.0,15.0,3.0,3662.0,4809.0,3551.0,27146.0
GENERAL PAZ,CORRIENTES,44.0,57.0,18.0,6.0,1425.0,1916.0,1352.0,12323.0
CONCEPCION,CORRIENTES,40.0,55.0,11.0,4.0,2791.0,3721.0,2576.0,17182.0
CURUZU CUATIA,CORRIENTES,44.0,51.0,17.0,3.0,4649.0,6209.0,4346.0,36285.0
SANTO TOME,CORRIENTES,46.0,49.0,22.0,5.0,6984.0,9454.0,6350.0,49134.0
SAN LUIS DEL PALMAR,CORRIENTES,40.0,44.0,11.0,2.0,1862.0,2392.0,1750.0,15377.0
EMPEDRADO,CORRIENTES,27.0,39.0,8.0,1.0,1574.0,2041.0,1472.0,12861.0
MONTE CASEROS,CORRIENTES,32.0,39.0,14.0,5.0,4116.0,5486.0,3686.0,32314.0
BELLA VISTA,CORRIENTES,37.0,37.0,12.0,2.0,4397.0,5598.0,3639.0,30735.0
PASO DE LOS LIBRES,CORRIENTES,31.0,35.0,14.0,3.0,5442.0,7451.0,5343.0,38542.0
SALADAS,CORRIENTES,28.0,28.0,10.0,5.0,2703.0,3566.0,2594.0,20263.0
