Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
GENERAL GUIDO,BUENOS AIRES,3157.0,21,11
MOLINOS,SALTA,5808.0,21,10
SOBREMONTE,CORDOBA,4381.0,21,4
AÑELO,NEUQUEN,18150.0,20,84
PUELEN,LA PAMPA,11636.0,20,52
HIPOLITO YRIGOYEN,BUENOS AIRES,10581.0,20,48
LEZAMA,BUENOS AIRES,6170.0,20,46
GENERAL LAVALLE,BUENOS AIRES,4846.0,20,33
TAPENAGA,CHACO,4051.0,20,7
CAFAYATE,SALTA,17822.0,19,63
TRES LOMAS,BUENOS AIRES,9090.0,19,45
LOVENTUE,LA PAMPA,9243.0,19,36
SUSQUES,JUJUY,3966.0,19,12
RINCONADA,JUJUY,1797.0,19,11
QUEMU QUEMU,LA PAMPA,8404.0,18,47
PICUNCHES,NEUQUEN,8471.0,18,26
ÑORQUIN,NEUQUEN,5572.0,18,9
EL CUY,RIO NEGRO,6960.0,18,6
GUATRACHE,LA PAMPA,9397.0,17,51
SAN BLAS DE LOS SAUCES,LA RIOJA,4306.0,17,5
TOAY,LA PAMPA,17927.0,16,59
LA CALDERA,SALTA,12246.0,16,9
SALLIQUELO,BUENOS AIRES,9344.0,15,56
CORPEN AIKE,SANTA CRUZ,15035.0,15,47
CONESA,RIO NEGRO,7398.0,15,37
LONCOPUE,NEUQUEN,7696.0,15,23
CASTRO BARROS,LA RIOJA,5810.0,15,10
CATRILO,LA PAMPA,8225.0,14,51
LOS ANDES,SALTA,7182.0,14,25
VALCHETA,RIO NEGRO,4300.0,14,13
VALLE GRANDE,JUJUY,2490.0,14,1
MITRE,SANTIAGO DEL ESTERO,1440.0,14,1
HUCAL,LA PAMPA,7713.0,13,42
TEHUELCHES,CHUBUT,5947.0,13,23
LA VIÑA,SALTA,8888.0,13,11
GUACHIPAS,SALTA,3491.0,13,6
CATAN LIL,NEUQUEN,2641.0,13,4
LAGO BUENOS AIRES,SANTA CRUZ,12584.0,12,77
MONTE HERMOSO,BUENOS AIRES,8444.0,12,71
TRENEL,LA PAMPA,5637.0,12,23
ANTOFAGASTA DE LA SIERRA,CATAMARCA,1822.0,12,10
LANGUIÑEO,CHUBUT,2862.0,12,7
ÑORQUINCO,RIO NEGRO,1452.0,12,2
VINCHINA,LA RIOJA,2695.0,11,7
LA POMA,SALTA,1789.0,11,5
LA CANDELARIA,SALTA,7182.0,11,3
TORDILLO,BUENOS AIRES,2528.0,10,9
PICUN LEUFU,NEUQUEN,5087.0,10,9
GASTRE,CHUBUT,1181.0,10,3
MAGALLANES,SANTA CRUZ,12828.0,9,77
COLLON CURA,NEUQUEN,4832.0,9,25
BERON DE ASTRADA,CORRIENTES,2808.0,9,10
TELSEN,CHUBUT,1608.0,8,2
PASO DE INDIOS,CHUBUT,1882.0,7,8
CHICAL CO,LA PAMPA,1461.0,7,2
CURACO,LA PAMPA,1103.0,6,7
CHALILEO,LA PAMPA,2868.0,6,6
ZONDA,SAN JUAN,6674.0,6,3
GENERAL LAMADRID,LA RIOJA,1885.0,6,
ULLUM,SAN JUAN,6454.0,6,
CALEU CALEU,LA PAMPA,2611.0,5,11
LIMAY MAHUIDA,LA PAMPA,413.0,4,7
MARTIRES,CHUBUT,744.0,3,3
LIHUEL CALEL,LA PAMPA,428.0,3,3
SANAGASTA,LA RIOJA,2994.0,3,2
JUAN MARTIN DE PUEYRREDON,SAN LUIS,260769.0,,345
DR. MANUEL BELGRANO,JUJUY,319469.0,,326
GÜER AIKE,SANTA CRUZ,137309.0,,268
CORONEL DE MARINA LEONARDO ROSALES,BUENOS AIRES,65823.0,,161
MALARGÜE,MENDOZA,32596.0,,114
