Cue,NivelEducativo
20089800,Primario
20089900,Jardin
20089900,Primario
20089900,Secundario
20090100,Jardin
20090200,Primario
20090300,Secundario
20090400,Jardin
20090400,Primario
20090400,Secundario
20090600,Primario
20090700,Primario
20090900,Jardin
20091000,Jardin
20091000,Primario
20091000,Secundario
20091100,Secundario
20091200,Jardin
20091200,Primario
20091200,Secundario
20091400,Jardin
20091400,Primario
20091600,Jardin
20091600,Primario
20091800,Jardin
20091800,Primario
20091800,Secundario
20092000,Secundario
20092100,Jardin
20092100,Primario
20092200,Jardin
20092200,Primario
20092200,Secundario
20092500,Jardin
20092500,Primario
20092500,Secundario
20092600,Jardin
20092600,Primario
20092600,Secundario
20092700,Primario
20092800,Primario
20092900,Primario
20093000,Secundario
20093001,Secundario
20093100,Jardin
20093101,Jardin
20093102,Jardin
20093103,Jardin
20093104,Jardin
20093105,Jardin
20093200,Primario
20093300,Primario
20093400,Primario
20093500,Primario
20093600,Primario
20093800,Primario
20093900,Secundario
20094000,Jardin
20094000,Primario
20094100,Primario
20094200,Secundario
20094300,Jardin
20094300,Primario
20094300,Secundario
20094400,Secundario
20094500,Jardin
20094500,Primario
20094500,Secundario
20094700,Primario
20094800,Jardin
20094800,Primario
20094900,Jardin
20094900,Primario
20094900,Secundario
20095000,Secundario
20095100,Jardin
20095100,Primario
20095100,Secundario
20095300,Jardin
20095400,Jardin
20095401,Jardin
20095402,Jardin
20095500,Jardin
20095500,Primario
20095500,Secundario
20095600,Jardin
20095600,Primario
20095600,Secundario
20095700,Secundario
20095800,Secundario
20095900,Jardin
20095900,Primario
20095900,Secundario
20096000,Jardin
20096000,Primario
20096000,Secundario
20096100,Primario
20096200,Jardin
20096200,Primario
20096600,Jardin
20096600,Primario
20096600,Secundario
20096700,Jardin
20096700,Primario
20096700,Secundario
20096800,Jardin
20096800,Primario
20096800,Secundario
20096900,SNU
20097000,Primario
20097100,Primario
20097200,Primario
20097300,Secundario
20097400,Jardin
20097400,Primario
20097400,SNU
20097400,Secundario
20097500,Jardin
20097501,Jardin
20097502,Jardin
20097503,Jardin
20097600,Jardin
20097600,Primario
20097600,Secundario
20097700,Jardin
20097700,Primario
20097700,Secundario
20097800,Jardin
20097800,Primario
20097800,Secundario
20097900,Primario
20098200,Primario
20098300,Jardin
20098300,Primario
20098300,Secundario
20098400,Primario
20098500,Secundario
20098600,Secundario
20098700,Primario
20098800,Jardin
20098900,Jardin
20098900,Primario
20099000,Jardin
20099000,Primario
20099000,Secundario
20099100,Primario
20099200,Jardin
20099400,Primario
20099600,Primario
20099700,Jardin
20099700,Primario
20099700,SNU
20099700,Secundario
20099800,Jardin
20099800,Primario
20099800,Secundario
20099900,Jardin
20099900,Primario
20099900,Secundario
20100000,Primario
20100100,Jardin
20100400,Jardin
20100400,Primario
20100400,Secundario
20100500,Primario
20100700,Primario
20100800,Primario
20100900,Primario
20101000,Secundario
20101100,Secundario
20101300,Primario
20101400,Primario
20101700,SNU
20101900,SNU
20102100,SNU
20102400,Jardin
20102500,Primario
20102600,Primario
20102700,Primario
20102900,Jardin
20103000,Primario
20103600,Primario
20103800,Secundario
20104000,Jardin
20104000,Primario
20104000,Secundario
20104100,Secundario
20104400,Jardin
20104600,Primario
20104700,Primario
20104900,Jardin
20104900,Primario
20104900,Secundario
20105000,Jardin
20105001,Jardin
20105002,Jardin
20105003,Jardin
20105100,Secundario
20105200,Jardin
20105200,Primario
20105200,Secundario
20105300,Jardin
20105300,Primario
20105400,Jardin
20105400,Primario
20105400,Secundario
20105700,Jardin
20105800,Jardin
20105801,Jardin
20105802,Jardin
